Tweet,Suicide
i damn near hate smoking by myself but sometimes i like it cause i cant finish blunts and i be having some for later,potential suicide post
is going to get some cereallllllll will be living off lucky charms next week woopwoop,not suicide post
quottagged as punk punk rock pop punk new york more people should listen to this band quot,not suicide post
its a great time in life we can help you design an amazing wedding,not suicide post
wow wow good to hear,not suicide post
feeling overwhelmed and wanting to die i tried to kill myself today all i wanted was my boyfriend to help me somehow since he sees me on this depression spiral but all he says is it will get better i know it will but currently i feel trapped in my own home i have no friends and i constantly feel weak or unmotivated i have no desire to have sex with my partner and tend to find the worst in him lately i love him but some things he does amplifies my depression i dont want to die but when i get hurt lonely or overwhelmed the one thought i cant shake is killing myself,potential suicide post
asking everyone to send out happy headfirst vibes to,not suicide post
and waiting for sunrise in spring with an amazing colors,not suicide post
good so far thanks hope yours will treat you well too,not suicide post
ok then might not be for a while though,not suicide post
its only the th and i have completed  of my selling goal im happy,not suicide post
but stilli highkey want him to be dead he f killed peach and beck ughcandice is back so imma just,potential suicide post
take care guys,not suicide post
my whole family is so damn beautiful and im the start of the ugly generation of it and i just hate myself so much i cant even express it,potential suicide post
my coworkers are my guinea pigs lucky for them im testing recipes from my ultimate cookie cook book,not suicide post
damn i hate myself,potential suicide post
no i want him to get indicted amp watch the kids go to jail  i dont want him to die because the trump,potential suicide post
ok legit question can i fucking kill myself im  done with life,potential suicide post
hows the ski jumping going have you beat the missus yet,not suicide post
i hope i fucken change cause damn do i hate myself,potential suicide post
really good and helpful about the various crisis in the dc universe  i have read them all,not suicide post
nothing to live for why because you have been nasty,potential suicide post
had a lovely night with the best boyfriend and two very good friends,not suicide post
my girlfriend left me i hate college i have no direction in life i just want to go to sleep and never wake up ive been thinking about suicide a lot recently and different methods the only reason i havent done it so far is because i am too much of a pussy i have access to enough drugs to overdose on i live near plenty of tall buildings i am seeing a therapist and psychiatrist all the pills they ve given me have only exacerbated my symptoms i dont care about leaving everything behind because i dont want to hurt the people around me but why should i go on living my shit life just so others arent inconvenienced one of these days i ll be drunk enough to finally pull the trigger figuratively literally,potential suicide post
you dont have to bring anything  its yr place katesparty,not suicide post
rosie does he think im gonna be single forever,potential suicide post
chickfila  bonus,not suicide post
yeah kg is around lbs glad you liked the interview i did with steve cotter quigong is sucha valuable part of any training,not suicide post
what do you want to know about modx cms maybe i can help you,not suicide post
im home from school yay wasnt that bad actually and i had a nice dinner with graceeeeee,not suicide post
im hoping my stress level will go down when my aunt is gone i cant relax am exhausted and cant focus on a dam,potential suicide post
a friend i knew online from last night finally added me up on his messenger,not suicide post
i jst sneezed twice me thinks theres at least one ghost in my house now,not suicide post
thanks wani,not suicide post
haha get all your stress out x,not suicide post
just added a little more grist to the mill,not suicide post
you want every vote counted no matter if the voter is dead move to a different precinct ou,potential suicide post
our barefoot range is a great alternative when you need to wear shoes they allow you foot move as though it were barefoot,not suicide post
there are no perks of being this ugly i deserve an award or something at least if im gonna die alone,potential suicide post
rt  random commenter asked why i had such an extreme social warrior agenda in magnus chase what he calls extreme social jus,potential suicide post
its tuesdayat workstill riding the high from the workout last night it should be a good day,not suicide post
so sad that i cant protect these cats and i dont know whats ever bothering them i dont know why this stuff has,potential suicide post
never been to war but i get terrible nightmares that wake me up fighting for my life thisisus ptsd,potential suicide post
cool,not suicide post
ok that dinner rocked,not suicide post
stuck every time i try and kill myself i cant go through with it but i cant keep living feeling this way why cant i just let myself die,potential suicide post
damn  i hate when i type so fast and the autocorrect changes go unnoticed smh at myself,potential suicide post
rt  shes doing her best,not suicide post
live your best life,not suicide post
all i want is the truth,not suicide post
we are not fussy about age here as long as females are between   i changed the rules lol,not suicide post
im just gonna go ahead and kill myself already done for the fucking day,potential suicide post
i cannot wait for my mum to fucking die all i wait is for her to die then i am going to lie under the train that very day and foolow suiti cannot wait i would kill her to be able to kill myself sooner but we are two in a very intimate relationship in short i can not kill her guns are forbiden in my country i have got only a knife or a brick to do it and so i cant do it it s very bloody and slow method cannot do anything my tonsils stink i hate human stench in all forms except dashas shits i hate my body hate arteries these nose and lips and saliva and eyes and all i hate human body except dashas one i want to fuck and to be with my dasha,potential suicide post
tania i think you should get athene and the rest of the crew on twitter,not suicide post
n i got yr pic posing in the server room,not suicide post
bye bye going to sleep finally xdddd d p,not suicide post
working on a film have been busy have a nice day everyone,not suicide post
i want to die where can i go to commit suicide give me an injection as i am unconconscious and end my nightmare life i want to die,potential suicide post
i want to play with it,not suicide post
thanks to everyone whos sent me work this year youll pleased to know ive just planted  trees in india with some of the profits x,not suicide post
this is my notice of me giving up on life n becoming an alcoholic bc im miserable n want to die farewell ill be drunk,potential suicide post
new iphone is completely updated sun shining in derry  tis a pretty day,not suicide post
i want to be a doctor,not suicide post
cash in the attic is ok i prefer homes under the hammer haha i do love being off school,not suicide post
ill ride for my dawgs any day but at the end of the day i already know where the streets can take you amp i what hap,potential suicide post
i want her,not suicide post
well compared to other areas west of us ill take our  degrees and run with it,not suicide post
aw i am so jealous  please take me with you,not suicide post
blaine mni dont want to be here anymore,potential suicide post
scared of death tired of living,potential suicide post
take it all back was so fun,not suicide post
ive had enough of life and the pain it causes,potential suicide post
omg the cringe i cant,potential suicide post
i love your shh tattoo  did it hurt i think im gonna get it,not suicide post
rt  i literally cant explain everything so much has happened i dont wanna be here anymore wtf is even the point i literally,potential suicide post
i want him,not suicide post
had a juice box this morning you never know the joy a juice box can bring until you have one later on in life,not suicide post
she didnt want him to go out with other women,not suicide post
youre welcome it was a great way to be introduced to your music,not suicide post
awesome cant wait to see it,not suicide post
my heart is so crushed,potential suicide post
ooo apple store is down  so close credit card ready,not suicide post
youve changed for the fucking worse i cant believe that you could really go back on all ur hard work like that,potential suicide post
not just because the house has never had a black woman in leadership but because,not suicide post
hey golden is here with me and just wanted to say hi and have a great morning,not suicide post
goooooood morning twitterworld,not suicide post
a revolution in household detergent introducing kidscleaning get one now while stocks last,not suicide post
everything that youve ever dreamed of,potential suicide post
congrats ill def go and support the tc media takeover,not suicide post
going to bed goodnightttttt,not suicide post
going to school and enjoying my last day as a  year old but too,not suicide post
hmmmnot goodcarrot juice and marmalade on toast may help,not suicide post
im tired and sick of everything i wanna die,potential suicide post
rt  no one has had more of an impact on my career and everything we do at marvel studios than stan lee stan leaves an extr,not suicide post
months ago my grandmother passed away  months ago i got my heart completely broken  months ago i almost attem,potential suicide post
really tired of everything its all just so lame and gay nothing serious us ever going to happen an,potential suicide post
trying to figure out how this works,not suicide post
my life is miserable,potential suicide post
positive mental attitude  today cant be as bad as yesterday,not suicide post
good morning all,not suicide post
yay just found out amy is having a girl lil bonita im so excitednow i can go by little girly things for the babes,not suicide post
i am constantly amazed by our technology it makes me wonder now check out this rad song quottrippingquot,not suicide post
damn i fucking hate myself,potential suicide post
snuggling in bed with my little babyahhhh,not suicide post
mhm up ohh early for me amp i feel like whatching open arms again by gary go,not suicide post
isnt the best twitter client for me its the simplicity and allin that makes me love it,not suicide post
ahhhh yeah i was but their updates were boring me so quotunfollowedquot them youll have to win and take me on holiday,not suicide post
could be  mine grew out down my back and then all fell off,not suicide post
rt    what a fun day,not suicide post
vou ler atd foi uma maratona lets just say im glad its over lol,not suicide post
laughter is indeed the best medicine whatever ur situation todayfind a reason  smile wholeheartedly god is goodfaithfulamploves u lt,not suicide post
they want people like me dead they dont want to help me if i was in canada israel or germany i wo,potential suicide post
enjoyed the ndubz gig last night  and it finished early which is always a bonus,not suicide post
i think its tonight because i dont care and i have nothing left i dont care i had something so great so promising and they stripped it down past the bone into splinters then pissed on the splinters i dont want happiness i dont want dreams i dont care that if i post a note everyone will desperately try to stop me i know they ll care when i am about to die or dead i am numb i am no longer scared and the hurt is too much i gotta go i have nothing left i had a lot of love to give but its gone with me i just wanted someone to hear me before the end,potential suicide post
rt  never get too attach cause  people wake up with  different feelings everyday,potential suicide post
do you ever feel empty and you had to pick a number from  depending how you feel about it i could write my funeral speech now but what is the point in afew years i would be forgotten anyway,potential suicide post
they dont do them in my size how r u,not suicide post
it snowed okay theres not enough to build frosty but it snowed as long as its cold it might as well snowenjoy your day,not suicide post
yall im sad cause i keep seeing tweets about invisible and the fact that it was a suicide note and like i already,potential suicide post
rt  i hate feeling the way i do,potential suicide post
glad to see spring making a comeback in denver today,not suicide post
hello gmrng wuzup hows twitterville while i was sleeping evrythings cool,not suicide post
nah i think going sideways is best really helps when dodging bullets,not suicide post
im so done with today like i just want to fucking kill myself,potential suicide post
if you have any questions feel free to email us at salescouk or send a dm on twitter,not suicide post
its been nearly three years but i still feel that kyloben solo doesnt deserve redemption the man killed his ow,potential suicide post
all right so thats  for slytherin  for hufflepuff and  for ravenclaw sadly ill have to cut these sprin,potential suicide post
bat ko kinakaawaan sarili ko at iniisip na yung iba naiisip din ako damn hate myself its just me,potential suicide post
hey there sent you a dm,not suicide post
you make the milk look really good in your pictures,not suicide post
totally love this pic are you singing it in finnish,not suicide post
,not suicide post
ooh thats lovely,not suicide post
you will fully bloom after all the hardships i love u,not suicide post
aw im so sorry try not to let it get to you too much they obviously didnt deserve you in the first p,potential suicide post
showcase quick  vip romm on thursday,not suicide post
is that me tony price is on here too as is fab,not suicide post
hey mariedees welcome to our twitter feed gmornin to ya,not suicide post
wow that was an experience you dont need to see repeated again glad he is ok,not suicide post
embedding a google calendar into a site is actually seriously easy,not suicide post
i die a little inside when i see an old person eating alone at a restaurant,potential suicide post
i hate repeating myself dawg like damn,potential suicide post
running out of option it physically hurts to breathe i have no dream or goal or ambition or motivation i am tried of it all i have been to hospital er psyche ward therapist difference medications my girlfriend the only person i really loved who wasnt family wants to just go do drugs and drink or whatever the fuck leaving me here with nothing so i cant at least just talk to her any more about how i feel it hurts it hurts so much so much pain and why i dont know why was i born to suffer like this if god is real he wants me dead and i do too,potential suicide post
words,not suicide post
barcelona spainrt  even though we dont want too we know that we have too believe that youre not here anymore and we know that we have to be st,potential suicide post
that is so coolgood to hearthanks for sharing,not suicide post
debuted on this weeks billboard social  at,not suicide post
let me hate myself god fucking damn it,potential suicide post
it is going to be sunny and  celcius friday and sunny and  saturday sweet,not suicide post
i second to that ian  thank you,not suicide post
in reality social media dont care about a mans mental health or dont want to speak on it until hes dead lets be real,potential suicide post
not everything is gold,not suicide post
became as hot as the persistent days resting heavily on tired flowers,potential suicide post
we used to have one but keeping a live wild animal in a cage surrounded by screaming drunk,potential suicide post
im so tired of everything can i die,potential suicide post
still listening to some great music i got yesterday amber pacific is awesome,not suicide post
going to day care get to see hannah this should be a good day i hope so anyway,not suicide post
i almost feel bad for my next post almost,not suicide post
thanks its certainly better than it was midday yesterday at one point i was walking around like kryten from red dwarf,not suicide post
welcome to the quottwitterspherequot i like your name for it its fun but can get super addicting,not suicide post
how did you know i love it,not suicide post
every day just brings me closer to death i am  years old working student i want to kill myself life is unbearable i have no skills not talents and i am absolutely boring person so i spend most of my free time alone i really want to find a girlfriend but i see no way how could i find one when i am useless like this i used to go away from sadness by listening to music but these days i am bored of music and just want to go to sleep and never wake up,potential suicide post
can i have yours clouds have come in i fear i may be too late to enjoy the weather,not suicide post
that is great to hear thanks chip,not suicide post
rt  completely devestated by the fires affecting my community i am one of the lucky ones my animals and love of my life made,not suicide post
ah s pop was so good,not suicide post
im leaving the laptop at home ill put up with tweetie i can get dms on gmail new friends can always send me their email addy,not suicide post
thank god for  slept in and he took ava to daycare,not suicide post
i dont know why i keep trying my home life has always been incredibly toxic and my parents have always been a major contributor to my depression and anxiety i just feel like a worthless individual i dont have a job and i am not doing anything and i have no motivation to even leave the house let alone my bed all my life shit like this has continued to happen to me and sometimes i look at all the pills i have to take and consider just shoving a handful in my mouth and ending it all but most of the time i just lie in my bed and wish i could die without actually having to kill myself because i am a coward i am so tired of hearing that things are gonna get better,potential suicide post
amazing night and great dayi love my heels,not suicide post
tired of living life with the fear of not being liked so for now on fuck it im really livin now people,potential suicide post
jami probably drunk driver coming onto oncoming traffic,potential suicide post
rt  me knowing damn well that i will hate myself for taking a  but doing it anyways,potential suicide post
im out of all my fucking meds bc my family thought it was the best to do since i got sick tired and sl,potential suicide post
rt  never been to war but i get terrible nightmares that wake me up fighting for my life thisisus ptsd,potential suicide post
whats twitter oh this is twitter yea my poor little birdie no here comes the fail whale,not suicide post
im gonna fucking die im tired of investing everything into a person and then have them throw it out i am not made,potential suicide post
yo sometimes im just tired of living,potential suicide post
rt  congratulations to  ol anthony vereen for being named gpac football first team offense  gojimmies,not suicide post
aspiring to be as happy as  in every aspect of life,not suicide post
rt  i used to check the forbes  under  list every year to see if i could find a husband on it,potential suicide post
que screamo voice so cut my wrist and black my eyes,potential suicide post
so i need to work on this project and people count on me but i do fucking nothing because i think its,potential suicide post
you hear this  together we could start some sort of terrible business that pays nothing and sucks our wi,potential suicide post
rt  if you find someone that makes you happy enjoy it life is not fair nor give many opportunities,not suicide post
debbs pw is up on mse congrats,not suicide post
my sister ruined the night before it even started i dont even want to be here anymore,potential suicide post
rt  i quit i keep grinding but still fucking suck i no life something and i still fucking suck im never gonna get into,potential suicide post
i cant take this anymore might as well end this sorry as life,potential suicide post
i wanna kill myself like not literally but mentally and emotionally,potential suicide post
co  i dont want to be here anymore i done ruined a good thing,potential suicide post
trying out spaz for twitter posts love my destroytwitter but its easier to read spaz,not suicide post
we wouldnt want them to think we were doing anything immoral,not suicide post
a tweet tweet here and a tweet tweet there goodniiiight,not suicide post
just checked out that homerun derby ep it slaps,potential suicide post
everything,not suicide post
obey the last fm algorithm maybe it would turn out you really do like scooter if you gave him a chance,not suicide post
haha i wish i was im tired of living here i wanna go down south,potential suicide post
so true nothing induces madness like trying to figure out why ppl do what they do hope today with yr little one is wonderful x,not suicide post
but ha internet explorer is being nice to me mozilla firefox is mean,not suicide post
tired of kickin you bitches out the house  bout ready to go to sleep and wake up to the same ting forever,potential suicide post
rt  ive said it before and ill say it againwaluigi suckshe sounds and looks funny and thats ittheres nothing else t,potential suicide post
rt  a year after the devastating earthquake in this city this young mother says she amp her family still dont have shelter,potential suicide post
heh heh dirty is always good gurl i like how you think,not suicide post
gettin off the internet gonna finish my hair,not suicide post
after failing once this is how i feel i wish that suicide was funded by the government i wish guns for suicide would be like condoms given to teens so if they are going to do it they do it right i wish euthansia was legal i wish that i wouldnt have to fear buying poison or a gun off the black market because if i get caught my life would get worse,potential suicide post
morning i have slacked for two days in twittering but here i am again just finished a good run ready to start a new day,not suicide post
i am looking for someone to talk to all i want to do is die,potential suicide post
i dont hate the player i hate the game jess glynne is probably an awesome person but i will kill myself or someon,potential suicide post
i am loving what i just read about vr love it,not suicide post
just watched chuck going out with mel soon,not suicide post
oh thank you im just glad to not be shutting stuff across the street anymore its a little slower w the unpacking tho,not suicide post
same to you sue,not suicide post
englandyeah no i dont want to be here anymore it hurts too much and im struggling too much,potential suicide post
i want to read p d jamess the children of men though  interesting premise yay for futuristics,not suicide post
i am worried i might lose it tomorrow i cant really tell anyone for fear of worrying them i will be one year and eleven months clean and sober tomorrow i am going to be off my methadone maintenance program in two weeks i am going to walk home from the court pack all my things and clean my apartment and say my goodbyes its just too much i am really hoping it doesnt come to that i hope so fucking much i dont want to kill myself i dont want to do that to anyone i am not strong enough to start over again my chest feels like its going to explode with anxiety i feel like i am going to break down crying in front of the judge tomorrow practically pleading for my life,potential suicide post
realizing that i will not get a surprise certified letter stating that i am the sole heir of a wealthy familys inh,not suicide post
what about blur  song,not suicide post
morning,not suicide post
tired of waking up tired of wanting to die tired of everything,potential suicide post
me sees a car crash i wonder how they crashed,potential suicide post
i just want to sleep so much has gone wrong in these  years and its still getting worse i can not change most of what is going on around me but it will invariably affect me i dont want to give it the chance so if i go and sleep and dont wake up i wont have to deal with it,potential suicide post
im always cheerful when its sunny at atl means ill get the heck away on time,not suicide post
just booked  and i in for d baby scan tomorrow  very exciting  cant wait to see our little girl,not suicide post
liter spent so much money tonight and literally one of the worst nights in a looo g time literally about to straigh,potential suicide post
rt   girl i wanna look this good when im pregnant lol congratulations beautiful i hope its a girl so she can be like u,not suicide post
im a size  but i have to wear orthotics in my footwear if im attempting to walk so i can get away with a,not suicide post
now my heart wants to die too i ve been struggling with depression trauma and suicidal thoughts for years but honestly things havent been as painful as they are now i am here sitting alone and alienated confused depressed miserable helpless and alone and honestly at this point i just hate life,potential suicide post
wasnt the miami valley already frozen its winter,not suicide post
im actually tired of this its like living in a home where the troubled deceitful child always wi,potential suicide post
rt  i dont want them to come for my account literally the only thing keeping me through the miserable existence that is,potential suicide post
he is good hes down in florida for mts he graduates in late aprilhe really happy about this,not suicide post
ive been at school since yesterday  good morning demi lovato  im a fan from canada,not suicide post
we were approved for a cute townhome so much closer to work im so excited,not suicide post
rt   im sick and tired of listening to  sayingfirst and foremost were all here to work for c,potential suicide post
this is correct i for one absolutely do not want to live in a country with these fucking chuds and i believe,potential suicide post
i wish i still had my simpsons shower radio,not suicide post
i love everyone else while i hate myself,potential suicide post
tired of living like this,potential suicide post
dude i am so jealous goin to buy some on thurs,not suicide post
welcome tweetlt lets get this,not suicide post
thats not how it works and if you truly believe this then i feel sorry for you we do,potential suicide post
happy birthday eat something good,not suicide post
it will only get worse come winter the chai at the goldfish bowl is the best out,not suicide post
rt  i love to see palestinians dancing and having fun good amppositive stories deserve to go viral as well,not suicide post
,potential suicide post
ever feel like everyones better off without you because me fucking too,potential suicide post
nope ahm preps for props,not suicide post
recorded what,not suicide post
what about twittering your task,not suicide post
gt  in june  in portugal i dont know should i go or is just another catching song,not suicide post
i want to be a painter,not suicide post
my cowley road ep has been rereleased on itunes if you dont have it get it,not suicide post
how did i just give up on sleeping im not even trying anymore i hate myself damn,potential suicide post
hows it cooking looking forward to having a taste later,not suicide post
words over with still more to write lame burritos for tea,not suicide post
phone againn,not suicide post
rt  on this day  november th  queen release single somebody to love,potential suicide post
its fucking cold  i hate working at  am tf did i sign up for why did i do this to myself damn it,potential suicide post
about time you should always listen to your wise friend kate shes the coolest,not suicide post
rt  i dont want to die but you know nothing is for certain and im tired of keeping quiet,potential suicide post
one month from today well be on that plane headin for ny,not suicide post
rt  i just dont want to be here anymore,potential suicide post
the videoscommentampsuscribe amp follow me  cheers x,not suicide post
iowa no  in happy yea,not suicide post
damn really hate myself rn,potential suicide post
oh sorry would have replied earlier but was flickin thru my wonderful new book of ideas,not suicide post
rt  i wanna let it be known that if any of my homies ever in your life feel like yall alone or just tired of living im a tex,potential suicide post
hey doing well  looking forward to meeting up with you and  in dc,not suicide post
im done trying to be happy it never helped and it never got approved by my parents meaning i have to stop all of what makes me happy and honestly i dont want to try anymore im just going to sit here and fail and keep failing until one day when death finally falls upon me,potential suicide post
trim are doing it with nambu bitly are doing it with tweetdeck,not suicide post
being a single mommy was never part of the plan but i wake up everyday and do my shit,potential suicide post
has only been awake two hours but would like to go back to sleep,not suicide post
its amazing i saw it on broadway with the original cast,not suicide post
you been puffing on that dragon again ey,not suicide post
yes i am obviously the only one at the national aviary who answers the phone,not suicide post
rt  glass half fullglass half empty this mizzou team is legitimately pretty good if you go by sports references simple,not suicide post
time to turn off and go to sleep i think its been a big day goodnight all,not suicide post
well i must say your comments have even got me thinking his hair looks rather sexy so i doubt she has much chance to resist,not suicide post
rt    bartomeu today he celebrates two further honours in a legendary career a th pichichi goalscorer award and the di st,not suicide post
nope you just caught me cheers im sure i will hope the sunshine holds out for you,not suicide post
i went with csi as my episode  of dollhouse needed redownloading once thats done i can watch that then the rest,not suicide post
just had lovely cuddle with tali virgo,not suicide post
is home from the gym and is going to sit on her butt all day,not suicide post
going for a fourmile night runaround the old b bomber on andersen gotta tape my ankles,not suicide post
everything is temporary evil eyes off shivrit,not suicide post
a little of what you fancy does you good i am told,not suicide post
after sickness back to work,not suicide post
i woke up feeling great,not suicide post
he is not tired of everything,not suicide post
hi,not suicide post
dont get upset by it not worth it besides if they do that with enough people their accounts will not be so popular,not suicide post
we just got a picture with my boyfriend thats what that is,not suicide post
ah its not the same since the old days when he of the orangeface was still around,not suicide post
lol supp it aint fucked,not suicide post
rt  living in the hood can be really tough i am tired of losing people to the violence i will not give up,potential suicide post
i want to kill myself i really want to fucking kill myself im done,potential suicide post
oh somebody kill me please,potential suicide post
yes indeed with copious amounts of whipped cream,not suicide post
i am empty i ve been focusing on school and work but every day i feel worse and worse last night i got blackout drunk didnt help made me feel even worse i know that my loneliness comes mostly from my conscious decisions cant live with people cant live without them the only reason i havent killed myself yet is that i fear the pain,potential suicide post
glad to hear youre making the switch you will not be disappointed,not suicide post
i wanna fucking kill myself,potential suicide post
please retweet my weed g board the coolest adult cartoon  im tired of living the worst times of my life plea,potential suicide post
off to the bakery to buy yummy stuff,not suicide post
is cleaning up will start anew,not suicide post
the rewards will be credited to your huobi account in  working days,not suicide post
proof,not suicide post
hen style may or may not involve making promises other people need to deliver  no such concerns here,not suicide post
keep it up you do good work,not suicide post
niiiceee,not suicide post
today i almost kill myself because i almost hit by a car thank lord,not suicide post
sir please tell does it suit to respected pm to tell give me  days and if things dont improve burn me alive if yes then anyone can say that come we shall burn u if not i didnt see anyone disassociating with this line,potential suicide post
extremely tired of everything i just want to die,potential suicide post
rt  im a fucking lunatic when i get angry its so terrible i need to work on this so bad before i end up doing something that fu,potential suicide post
congratulations dave enjoy the little un xxx,not suicide post
good morning,not suicide post
yummy starbucks,not suicide post
death scares tf out of me and i am not ready to die,potential suicide post
i hate being by myself bc everything a damn music video,potential suicide post
i went to starbucks earlier,not suicide post
gene has been acting a bit odd lately when i told him about leper wanting to jump out of the tree to join the supe,potential suicide post
i was drinking and crying my night away as usual to find out my ex is fucking a girl in his bed so i tried to kill,potential suicide post
wow awesome pics,not suicide post
death cant be much worse i am  male my girlfriend left i have been staying late in the office for too long because i cant cope with the workload friends are non existent hate my family and they hate me i just want to die i dont see any other option at this point,potential suicide post
rt  hate the fact that im damn near forced to figure everything out by myself but it must be done,potential suicide post
good morninggood morninggood moooooorning,not suicide post
im gonna watch tm  c wot they hav  say bout twitter yor show was brilliant as ever this mornin  katie x,not suicide post
heres my latest tune   leave a comment please,not suicide post
watch this space not sure how viable it is yet possibly though,not suicide post
with jake rt  i desperately and whole heartedly dont want to be here anymore,potential suicide post
me too i want to have an overnight drinking session with friends and i mean all of em haha,not suicide post
a blunt and honest girl who just wants to take care of her family and a passionate boy perusing his dreams of being,not suicide post
didn t kill myself yet i guess that is something to be proud of i had a gun but my roommate found it planning on finding a lonely bridge to end it i really want a reason to live but i just can t find one,potential suicide post
photoboth is blackampwhite and wayyy old we call him herbert lol i love him hes like a living legend gotta love berlin lt,not suicide post
lol  is your friend,not suicide post
it wont be miserable for at least  weeks tho,not suicide post
tom chaplin marry me please i melt for you hahaha o and pearshapebodygirl stopped talking to me yes,not suicide post
im attempting to make hot cross buns with bella amp ari,not suicide post
this summarize what happened at boc chrismas special when all of them are in a chaos we still have mile phakphum romsaithong who is very calm in everything,not suicide post
o he just replied to someone dougie replied to quite a few people this afternoon so you never know besides its fun,not suicide post
